Player,Consistency,Average,Median,Team,Position,Games Played
A.J. Brown,0.5782,17.1538,15.2,PHI,WR,13
A.J. Green,0.946,3.6182,1.6,ARI,WR,11
AJ Dillon ,,,6.1,GNB,RB,13
Aaron Jones,0.5275,15.5,12.3,GNB,RB,13
Aaron Rodgers,0.2804,14.4077,15.5,GNB,QB,13
Adam Prentice,,,0.0,NOR,RB,7
Adam Thielen,0.4602,11.8077,9.8,MIN,WR,13
Adam Trautman,0.8673,3.5727,1.85,NOR,TE,11
Albert Okwuegbunam,1.4717,2.0,0.0,DEN,TE,6
Alec Ingold,1.4509,2.8,0.5,MIA,RB,13
Alec Pierce,,,6.25,IND,WR,12
Alex Armah,,,0.0,WAS,,2
Alex Erickson,,,,WAS,,2
Alexander Mattison,0.8258,4.7769,3.25,MIN,RB,13
Allen Lazard ,,,11.1,GNB,WR,11
Allen Robinson,0.6286,8.49,4.25,LAR,WR,10
Alvin Kamara,0.7263,14.4818,7.55,NOR,RB,11
Amari Cooper,0.6043,14.6462,12.4,CLE,WR,13
Amari Rodgers,2.5619,1.75,0.0,2TM,WR,12
Ameer Abdullah,1.1829,3.3846,2.25,LVR,RB,13
Amon-Ra St. Brown,0.6023,18.0583,13.65,DET,WR,12
Andre Baccellia,,,0.0,ARI,WR,6
Andre Roberts,,0.0,0.0,CAR,,1
Andrew Beck,2.3156,0.9778,0.0,DEN,TE,9
Andy Dalton,,,10.35,NOR,QB,10
Andy Isabella,0.7077,1.3667,0.0,ARI,WR,3
Anthony Brown,,,,BAL,QB,1
Anthony Firkser,0.7549,1.9857,0.0,ATL,TE,7
Anthony McFarland Jr.,,,,PIT,RB,1
Anthony Schwartz,2.038,1.7091,0.0,CLE,WR,11
Antonio Gibson ,0.3845,12.0077,10.15,WAS,RB,13
Antonio Williams,,,0.0,NYG,,2
Armani Rogers,1.3851,1.38,0.0,WAS,TE,10
Ashton Dulin,1.0476,4.1667,0.0,IND,WR,9
Austin Ekeler,0.3839,22.5154,21.25,LAC,RB,13
Austin Hooper,0.8313,6.0538,4.55,TEN,TE,13
Austin Trammell,,,,LAR,WR,2
Bailey Zappe,,,0.0,NWE,QB,4
Baker Mayfield,0.4022,10.9875,5.45,2TM,QB,8
Ben Ellefson,1.2857,1.4,0.0,MIN,TE,4
Ben Skowronek,0.8106,6.3846,4.3,LAR,WR,13
Benny Snell Jr.,2.6151,1.4385,0.0,PIT,RB,13
Boston Scott,0.969,3.1091,1.85,PHI,RB,11
Brandin Cooks,0.3896,10.27,8.4,HOU,WR,10
Brandon Aiyuk,0.4136,13.4,11.95,SFO,WR,13
Brandon Allen,,,,CIN,QB,1
Brandon Bolden,1.6327,2.0083,0.0,LVR,RB,12
Brandon Johnson,,,,DEN,WR,4
Brandon Powell,1.2963,2.8308,1.25,LAR,WR,13
Brandon Zylstra,,,0.0,DET,,2
Braxton Berrios,0.8478,3.9923,2.6,NYJ,WR,13
Braylon Sanders,,,0.0,MIA,WR,1
Breece Hall,0.3288,16.4429,5.05,NYJ,RB,7
Breshad Perriman,1.8096,2.3778,0.0,TAM,WR,9
Brett Rypien,,,0.0,DEN,QB,2
Brevin Jordan,1.0892,2.5429,0.0,HOU,TE,7
Brian Hoyer,,,0.0,NWE,QB,1
Brian Robinson Jr.,,,3.95,WAS,RB,9
Brock Purdy,,,0.0,SFO,QB,5
Brock Wright,,,0.0,DET,TE,13
Bryan Edwards,1.2102,0.6429,0.0,ATL,WR,7
Bryce Perkins,,,,LAR,QB,4
Brycen Hopkins,1.5351,0.61,0.0,LAR,TE,10
Byron Pringle,1.2703,2.3857,0.0,CHI,WR,7
C.J. Beathard,,,0.0,JAX,QB,2
C.J. Board,,,,TEN,WR,4
C.J. Ham,1.758,1.0462,0.0,MIN,RB,13
C.J. Uzomah,0.7285,2.3917,1.6,NYJ,TE,12
Cade Otton,,,5.1,TAM,TE,12
Caleb Huntley,,,2.25,ATL,RB,11
Cam Akers,0.9323,5.7727,2.75,LAR,RB,11
Cam Sims,1.0377,1.1,0.4,WAS,WR,13
Cameron Brate,0.6897,4.1125,1.75,TAM,TE,8
Carson Wentz,0.6052,16.25,0.0,WAS,QB,6
Case Keenum,,,0.0,BUF,QB,2
Cedrick Wilson Jr.,1.0674,1.9417,0.0,MIA,WR,12
CeeDee Lamb,0.5102,16.2077,13.9,DAL,WR,13
Cethan Carter,,0.0,0.0,MIA,,1
Chad Henne,1.0,-0.15,0.0,KAN,QB,2
Charlie Woerner,,0.0,0.0,SFO,,13
Chase Claypool,0.7348,7.7,6.85,2TM,WR,13
Chase Daniel,,,0.0,LAC,QB,2
Chase Edmonds,0.9523,5.21,1.55,2TM,RB,10
Chester Rogers,,,0.0,CLE,,3
Chigoziem Okonkwo,1.0893,5.1231,2.9,TEN,TE,13
Chris Conley,2.0,0.74,0.0,2TM,WR,5
Chris Evans,2.0215,1.1636,0.0,CIN,RB,11
Chris Godwin,0.395,14.1545,11.9,TAM,WR,11
Chris Manhertz,1.5227,0.7846,0.0,JAX,TE,13
Chris Moore,0.779,7.775,6.7,HOU,WR,12
Chris Myarick,1.4006,1.5,0.0,NYG,TE,13
Chris Olave,0.351,13.8917,11.1,NOR,WR,12
Christian Kirk,0.5339,15.0077,13.6,JAX,WR,13
Christian McCaffrey,0.4169,20.6615,17.65,2TM,RB,13
Christian Watson,0.8442,12.59,4.15,GNB,WR,10
Chuba Hubbard,1.4326,4.4636,0.85,CAR,RB,11
Clark Harris,,0.0,0.0,CIN,,1
Clyde Edwards-Helaire,0.8239,9.83,3.1,KAN,RB,10
Cody Hollister,2.1936,0.7636,0.0,TEN,WR,11
Cody White,,,,PIT,WR,1
Colby Parkinson,1.0351,3.1077,2.1,SEA,TE,13
Cole Beasley,,,0.0,TAM,WR,2
Cole Kmet,0.8617,8.2077,5.85,CHI,TE,13
Cole Turner,,,0.0,WAS,TE,6
Colt McCoy,,,,ARI,QB,3
Connor Heyward,,,0.0,PIT,TE,13
Cooper Kupp,0.3861,22.3778,16.55,LAR,WR,9
Cooper Rush,0.8645,7.075,0.6,DAL,QB,8
Cordarrelle Patterson,0.5861,12.0111,5.05,ATL,RB,9
Corey Clement,,,0.0,ARI,RB,5
Corey Davis,0.7396,8.4,3.6,NYJ,WR,10
Courtland Sutton,0.5757,10.6083,11.8,DEN,WR,12
Craig Reynolds,0.9926,3.85,0.0,DET,RB,8
Cullen Gillaspia,,,0.0,SEA,,6
Curtis Samuel,0.5173,11.5692,11.55,WAS,WR,13
D'Andre Swift,0.4709,13.18,8.1,DET,RB,10
D'Ernest Johnson,,,0.0,CLE,RB,11
D'Onta Foreman,1.2531,7.4846,2.15,CAR,RB,13
D'Wayne Eskridge,1.4625,1.38,0.0,SEA,WR,10
D.J. Moore,0.7405,10.3846,7.45,CAR,WR,13
D.K. Metcalf,0.4605,14.6846,16.05,SEA,WR,13
DJ Chark,0.7574,9.8,0.0,DET,WR,7
DJ Turner,,,0.0,LVR,WR,9
Dak Prescott,0.3682,15.9125,8.35,DAL,QB,8
Dallas Goedert,0.4182,12.6,9.15,PHI,TE,9
Dalton Schultz,0.7302,9.0909,5.25,DAL,TE,11
Dalvin Cook,0.4264,14.6923,13.6,MIN,RB,13
Dameon Pierce,0.4835,12.8,12.35,HOU,RB,13
Damien Harris,0.6433,8.5333,2.1,NWE,RB,9
Damien Williams,0.0,0.2,0.0,ATL,RB,1
Damiere Byrd,,,0.0,ATL,WR,10
Dan Arnold,0.8873,1.5231,1.65,JAX,TE,13
Dan Chisena,,,0.0,MIN,,2
Daniel Bellinger,,,1.15,NYG,TE,9
Daniel Jones,0.3058,17.0923,15.25,NYG,QB,13
Danny Gray,,,,SFO,WR,9
Dante Pettis,1.3835,3.8385,2.2,CHI,WR,13
Dare Ogunbowale,1.4678,2.4,0.5,HOU,RB,13
Darius Slayton,,,7.75,NYG,WR,12
Darnell Mooney,0.6521,8.4583,7.75,CHI,WR,12
Darrel Williams,1.3926,3.5167,0.0,ARI,RB,6
Darrell Henderson,0.5451,7.35,5.3,LAR,RB,10
Darren Waller,0.7484,7.9,0.0,LVR,TE,5
Darrynton Evans,,,0.0,CHI,RB,4
Davante Adams,0.5157,21.4308,18.5,LVR,WR,13
David Bell,,,2.0,CLE,WR,13
David Johnson,,,,NOR,RB,1
David Montgomery,0.5105,11.2917,8.75,CHI,RB,12
David Njoku,0.5641,11.55,7.5,CLE,TE,10
David Sills,,,0.0,NYG,WR,9
Davis Mills,0.3644,10.9818,9.35,HOU,QB,11
Dawson Knox,0.5747,7.65,6.75,BUF,TE,12
Dax Milne,1.4776,1.4273,0.0,WAS,WR,11
DeAndre Carter,0.7495,7.8538,5.95,LAC,WR,13
DeAndre Hopkins,,,6.45,ARI,WR,7
DeSean Jackson,,,,BAL,WR,4
DeVante Parker,0.9413,6.4167,3.75,NWE,WR,12
DeVonta Smith,0.5998,13.1923,13.85,PHI,WR,13
DeeJay Dallas,1.5095,1.6333,0.05,SEA,RB,12
Deebo Samuel,0.3631,13.6667,12.45,SFO,WR,12
Demarcus Robinson,0.9374,6.3846,3.45,BAL,WR,13
Demetric Felton,2.4495,0.1286,0.0,CLE,RB,7
Dennis Houston,1.0,1.8,0.0,DAL,WR,2
Denzel Mims,,,0.0,NYJ,WR,7
Deon Jackson,,,0.0,IND,RB,12
Deonte Harty,4.6531,0.325,0.0,NOR,WR,4
Derek Carr,0.4048,14.8846,16.95,LVR,QB,13
Derek Watt,2.1599,1.0462,0.0,PIT,RB,13
Derrick Henry ,0.4682,18.7769,18.65,TEN,RB,13
Deshaun Watson,,,,CLE,QB,2
Devin Asiasi,,,0.0,CIN,,10
Devin Duvernay,0.7106,8.5538,8.0,BAL,WR,13
Devin Singletary,0.4848,11.1692,9.15,BUF,RB,13
Devine Ozigbo,,,0.0,DEN,RB,3
Dezmon Patmon,,,0.0,IND,WR,1
Diontae Johnson,0.3028,10.4615,10.1,PIT,WR,13
Donald Parham,,,0.0,LAC,TE,2
Donovan Peoples-Jones,0.5159,10.6385,11.8,CLE,WR,13
Dontrell Hilliard,0.9287,6.4333,4.25,TEN,RB,12
Drake London,0.6465,9.5615,7.15,ATL,WR,13
Drew Sample,0.3333,0.9,0.0,CIN,TE,2
Duke Johnson,,,,BUF,RB,1
Durham Smythe,1.2228,2.3833,0.0,MIA,TE,12
Dwayne Washington,,,0.0,NOR,RB,12
Dyami Brown,2.4332,2.8455,0.0,WAS,WR,11
Elijah Mitchell,0.3164,6.525,0.0,SFO,RB,4
Elijah Moore,0.8111,5.775,3.7,NYJ,WR,12
Eno Benjamin,0.8953,7.2,4.9,2TM,RB,12
Equanimeous St. Brown,0.8545,4.3385,3.05,CHI,WR,13
Eric Saubert,1.4441,2.1769,0.0,DEN,TE,13
Eric Tomlinson,1.8685,0.7538,0.0,DEN,TE,13
Evan Engram,0.9276,10.2923,7.9,JAX,TE,13
Ezekiel Elliott,0.3521,13.3545,12.3,DAL,RB,11
Feleipe Franks,,,0.0,ATL,,9
Foster Moreau,0.6757,6.0727,4.35,LVR,TE,11
Freddie Swain,,,,MIA,,1
Gabriel Davis,0.6925,11.9667,7.25,BUF,WR,12
Gardner Minshew II,,,-0.05,PHI,QB,3
Garrett Wilson,0.6605,13.4,10.6,NYJ,WR,13
Gary Brightwell,1.6853,1.6077,0.0,NYG,RB,13
Geno Smith,0.3121,18.8923,19.15,SEA,QB,13
Geoff Swaim,1.9579,1.5385,0.0,TEN,TE,13
George Kittle,,,6.2,SFO,TE,11
George Pickens,0.6853,9.3385,8.8,PIT,WR,13
Gerald Everett,0.483,9.25,7.85,LAC,TE,12
Giovani Bernard,,0.0,0.0,TAM,,4
Giovanni Ricci,1.3778,1.2545,0.0,CAR,RB,11
Godwin Igwebuike,,,,SEA,,1
Grant Calcaterra,,,0.0,PHI,TE,11
Greg Dortch,1.1505,6.4,1.25,ARI,WR,12
Greg Dulcich,,,2.6,DEN,TE,8
Gunner Olszewski,1.9912,0.825,0.0,PIT,WR,12
Gus Edwards,,,0.0,BAL,RB,5
Harrison Bryant,0.8107,3.9308,3.2,CLE,TE,13
Hassan Haskins,,,0.0,TEN,RB,11
Hayden Hurst,0.4959,8.3333,7.8,CIN,TE,12
Hunter Henry,0.8102,6.2,3.3,NWE,TE,13
Hunter Long,,0.0,0.0,MIA,,5
Hunter Renfrow,0.4536,6.3667,0.0,LVR,WR,6
Ian Thomas,0.7184,2.8154,2.55,CAR,TE,13
Ihmir Smith-Marsette,3.221,0.0571,0.0,2TM,WR,7
Irv Smith Jr.,0.5883,7.2571,0.0,MIN,TE,7
Isaiah Hodgins,,,0.0,2TM,WR,7
Isaiah Likely,,,1.45,BAL,TE,12
Isaiah McKenzie,0.6986,9.2417,6.9,BUF,WR,12
Isaiah Spiller,,,0.0,LAC,RB,6
Isiah Pacheco,0.7917,7.0,5.25,KAN,RB,13
J.D. McKissic,0.572,6.975,1.2,WAS,RB,8
J.J. Taylor,,,,NWE,RB,1
J.K. Dobbins,,,0.0,BAL,RB,5
J.P. Holtz,,,0.0,NOR,,6
Ja'Marr Chase,0.4364,20.7667,12.05,CIN,WR,9
Jack Stoll,1.2249,1.6692,0.7,PHI,TE,13
Jacob Eason,,,0.0,CAR,QB,1
Jacob Harris,,,0.0,LAR,TE,7
Jacob Hollister,,,0.0,2TM,,5
Jacoby Brissett,0.5404,12.9308,13.75,CLE,QB,13
Jaelon Darden,2.4559,0.4,0.0,TAM,WR,12
Jahan Dotson,0.8012,9.2,1.2,WAS,WR,8
Jake Ferguson,,,1.7,DAL,TE,13
Jake Funk,,0.0,0.0,LAR,,5
Jake Kumerow,1.5361,1.7333,0.0,BUF,WR,6
Jakob Johnson,1.5287,0.3615,0.0,LVR,RB,13
Jakobi Meyers,0.4731,12.62,9.2,NWE,WR,10
Jalen Camp,,,,HOU,WR,2
Jalen Guyton,1.4142,2.8,0.0,LAC,WR,3
Jalen Hurts,0.2167,25.7615,26.15,PHI,QB,13
Jalen Nailor,,,0.0,MIN,WR,11
Jalen Reagor,1.313,1.7846,0.0,MIN,WR,13
Jalen Tolbert,,,0.0,DAL,WR,8
Jalen Virgil,,,,DEN,WR,5
Jamaal Williams,0.5452,13.6385,10.35,DET,RB,13
Jamal Agnew,1.2262,5.2273,2.25,JAX,WR,11
Jameis Winston,0.3934,14.6333,0.0,NOR,QB,3
James Conner,0.427,14.31,9.7,ARI,RB,10
James Cook,0.8871,5.3,4.55,BUF,RB,13
James Mitchell,,,0.0,DET,TE,10
James Proche,1.6529,1.1091,0.0,BAL,WR,11
James Robinson,0.9348,8.0545,2.3,2TM,RB,11
James Washington,,,,DAL,,1
Jameson Williams,,,,DET,WR,2
Jamison Crowder,0.5503,3.0,0.0,BUF,WR,4
Jamycal Hasty,1.623,3.5615,0.95,JAX,RB,13
Jared Goff,0.5274,16.3615,15.2,DET,QB,13
Jaret Patterson,,,,WAS,,1
Jarrett Stidham,,,0.0,LVR,QB,3
Jarvis Landry,0.6498,7.525,3.7,NOR,WR,8
Jason Cabinda,,,,DET,RB,5
Jason Moore,,,0.0,LAC,WR,6
Jauan Jennings,0.8477,5.3167,4.0,SFO,WR,12
Javon Wims,,,0.0,ARI,,1
Javonte Williams,0.5553,10.5,0.0,DEN,RB,4
Jaylen Waddle,0.6863,15.0,13.15,MIA,WR,13
Jaylen Warren,0.7478,4.775,3.55,PIT,RB,12
Jeff Driskel,1.1155,3.5333,0.0,HOU,TE,3
Jeff Smith,1.2934,0.97,0.0,NYJ,WR,10
Jeff Wilson,0.7059,9.8077,8.55,2TM,RB,13
Jelani Woods,,,0.6,IND,TE,11
Jerick McKinnon,0.8527,9.0846,7.35,KAN,RB,13
Jerome Ford,,,,CLE,RB,9
Jerry Jeudy,0.7387,12.4364,8.35,DEN,WR,11
Jesper Horsted,3.1623,0.4455,0.0,LVR,TE,11
Jesse James,,0.0,0.0,CLE,,2
Jimmy Garoppolo,,,13.55,SFO,QB,11
Jody Fortson,,,0.0,KAN,TE,12
Joe Burrow,0.3259,22.3692,18.65,CIN,QB,13
Joe Flacco,1.0341,10.675,0.0,NYJ,QB,4
Joe Mixon,0.7129,17.5909,12.2,CIN,RB,11
John Bates,1.3793,2.5667,0.0,WAS,TE,12
John Brown,,,,BUF,,2
John Wolford,,,,LAR,QB,3
Johnny Mundt,0.7904,2.6692,2.15,MIN,TE,13
